entity,category,modelname,correct,wrong,undefinied
persons,random,llava_1_5_7b_answers,0.87,0.11,0.02
persons,gender-sensitive,llava_1_5_7b_answers,0.84,0.15,0.01
persons,country-sensitive,llava_1_5_7b_answers,0.8,0.18,0.02
persons,country-gender-sensitive,llava_1_5_7b_answers,0.77,0.2,0.03
locations,random,llava_1_5_7b_answers,0.94,0.06,0.0
locations,country-continent,llava_1_5_7b_answers,0.94,0.06,0.0
locations,region-country,llava_1_5_7b_answers,0.88,0.12,0.0
locations,city-region,llava_1_5_7b_answers,0.91,0.09,-0.0
events,random,llava_1_5_7b_answers,0.84,0.16,0.0
events,same_instance,llava_1_5_7b_answers,0.8,0.16,0.04
